ID,BMI                     ,Stature,DeltaV                  ,CushionStiffness        ,LapBeltFriction         ,LoadLimiter             ,SeatFriction            ,ShoulderBeltFriction    ,AirBagInflation         ,AirBagVenting           ,Normalized ChestD,FFL                     ,FFR                     ,HIC                     
0,38.7,1.8,30.5,1.382352941,0.6,0.996470588,1.96,0.31,0.7,1.550666667,0.034520251,4682.4,4534.3,550.51
1,20.18571429,1.76,29.3,1.514705882,0.35,1.151764706,1.38,0.68,0.7,1.25,0.018691959,4599.6,6122.9,787.36
2,40.37142857,1.52,43.1,1.832352941,0.64,0.823529412,1.11,0.43,0.7,0.722,0.050696883,8250,10900,2310
3,22.37142857,1.8,24.5,0.835294118,0.22,1.176470588,0.64,0.79,0.7,1.668,0.030389865,5364,3867,316.74
4,35.87142857,1.63,40.4,0.941176471,0.48,0.848235294,1.65,0.36,0.7,1.338,0.054675707,7995,9964.5,4634.1
5,34.45714286,1.69,41.9,1.902941176,0.13,1.102352941,0.62,0.94,0.707333333,1.088666667,0.038641254,5068,6534.1,657
6,19.92857143,1.56,39.8,1.797058824,0.92,1.102352941,1.48,0.44,0.707333333,1.572666667,0.017565925,1492.6,1322,782.64
7,41.4,1.62,44.3,0.985294118,0.38,0.911764706,1.24,0.74,0.707333333,0.956666667,0.058511393,11703,12867,2480.2
8,25.2,1.63,24.2,1.7,0.28,0.795294118,1.82,0.43,0.707333333,1.455333333,0.016289815,2334.8,1993.6,181.49
9,43.97142857,1.88,29.3,0.923529412,0.88,1.158823529,0.63,0.35,0.707333333,1.572666667,0.027799016,7577.6,9318.8,580.79
10,29.57142857,1.55,34.7,1.25,0.19,0.915294118,0.76,0.58,0.707333333,1.242666667,0.014506425,3574.6,5268.7,388.53
11,22.62857143,1.84,32.6,1.691176471,0.39,1.247058824,1.6,0.11,0.714666667,1.594666667,0.02537262,5956,5398.4,543.65
12,41.14285714,1.68,28.7,1.135294118,0.2,1.169411765,1.92,0.77,0.714666667,0.780666667,0.012699048,3816.6,4317.9,108.81
13,41.78571429,1.64,20.6,1.258823529,0.87,0.992941176,1.57,0.42,0.714666667,0.964,0.003914207,3436.5,3394.3,67.6
14,35.74285714,1.81,42.8,0.870588235,0.99,1.141176471,0.91,0.49,0.714666667,1.000666667,0.053635944,7341.3,7618.6,666.34
15,18.64285714,1.78,46.4,1.479411765,0.72,1.271764706,1.41,0.39,0.714666667,1.198666667,0.019265913,5312.7,7949.8,1138.8
16,30.08571429,1.6,36.8,1.082352941,0.52,1.031764706,1.89,0.12,0.714666667,1.103333333,0.020271642,3915.8,4090,363.49
17,44.35714286,1.53,49.4,0.747058824,0.35,1.077647059,1.43,0.75,0.714666667,1.69,0.056072582,9705,12511,2714.7
18,28.92857143,1.82,34.1,1.735294118,0.54,0.848235294,1.61,0.85,0.714666667,0.824666667,0.012735441,5160.4,5318.2,518.85
19,28.8,1.58,27.8,1.320588235,0.85,1.225882353,0.8,0.44,0.722,0.7,0.018323875,2657.9,3538.2,148.93
20,25.71428571,1.71,29.3,1.214705882,0.74,0.908235294,0.96,0.94,0.722,1.734,0.010577588,3550.8,4053.2,373.64
21,41.4,1.76,22.7,1.091176471,0.49,0.784705882,0.85,0.25,0.722,1.257333333,0.027671154,4830.5,4071.1,286.79
22,39.34285714,1.83,33.8,1.364705882,0.19,0.798823529,1.73,0.63,0.722,1.411333333,0.049543527,6194.2,4661.3,697.2
23,31.24285714,1.65,37.1,1.576470588,0.12,0.936470588,0.87,0.78,0.722,0.890666667,0.00903342,4322.5,5632.3,252.64
24,35.35714286,1.83,33.2,1.964705882,0.8,1.165882353,1.23,0.32,0.729333333,1.059333333,0.025101344,6241.2,6549.7,377.89
25,28.41428571,1.72,21.2,0.791176471,0.97,1.285882353,1.5,0.66,0.729333333,0.839333333,0.01411232,2513.3,1764.8,80.341
26,34.97142857,1.54,30.5,1.382352941,0.97,1.091764706,0.87,0.93,0.729333333,1.257333333,0.034911615,4700.5,5314.1,1572.2
27,33.3,1.58,35.6,0.623529412,0.77,0.82,1.68,0.99,0.729333333,0.773333333,0.014732224,2999.5,5143.1,146.61
28,28.54285714,1.54,45.2,0.552941176,0.85,0.978823529,2,0.51,0.729333333,1.323333333,0.014325676,2757.8,4814.3,470.36
29,32.78571429,1.8,40.1,0.976470588,0.63,1.112941176,0.68,0.16,0.729333333,1.162,0.044425787,6539.9,6435.8,490.19
30,42.3,1.69,47.3,0.667647059,0.64,0.809411765,0.82,0.48,0.736666667,1.484666667,0.070987276,8112.5,9988.3,1547.6
31,43.07142857,1.52,29.9,1.611764706,0.3,1.014117647,1.61,0.33,0.736666667,1.264666667,0.041164138,6030.4,7233.5,678.87
32,23.91428571,1.54,46.4,1.867647059,0.28,0.954117647,1.15,0.8,0.736666667,1.565333333,0.016717639,2891.1,2963.9,789.63
33,27.64285714,1.7,24.8,0.905882353,0.74,1.215294118,1.84,0.21,0.736666667,1.066666667,0.021175168,3349,2273.1,187.15
34,35.22857143,1.72,23.9,1.1,0.27,1.049411765,0.64,0.47,0.736666667,0.802666667,0.007146605,4206.1,3777,137.16
35,20.57142857,1.68,31.7,0.755882353,0.22,0.876470588,1.25,0.88,0.736666667,0.905333333,0.015452621,3603.5,4697.5,303.57
36,23.01428571,1.77,48.8,1.673529412,0.36,1.014117647,0.54,0.65,0.736666667,1.154666667,0.026890268,6924.9,8124.5,928.47
37,24.3,1.58,36.2,1.179411765,0.72,0.738823529,0.84,0.71,0.744,1.125333333,0.016361149,2995.4,3140.1,373.28
38,19.92857143,1.65,37.4,1.964705882,0.64,0.88,0.72,0.93,0.744,1.704666667,0.017568276,4047.3,5497.7,596.55
39,18.77142857,1.51,39.2,0.764705882,0.46,1.162352941,0.55,0.56,0.744,1.484666667,0.01921,2625.3,354.25,1018.9
40,39.6,1.54,21.8,1.435294118,0.25,1.236470588,0.71,0.29,0.744,1.433333333,0.03255159,4270.5,3794.2,271
41,24.42857143,1.78,43.7,0.994117647,0.33,1.137647059,1.55,0.26,0.744,1.352666667,0.020308083,7035.5,5886.2,697.21
42,29.31428571,1.7,32,1.567647059,0.86,0.82,1.63,0.31,0.744,1.638666667,0.01288328,4154.8,3319.1,343.06
43,36.12857143,1.55,26,0.861764706,0.42,1.190588235,1.83,0.71,0.751333333,1.521333333,0.033943189,4047.5,4993.4,1256.9
