ID,BMI,Stature,DeltaV,CushionStiffness,LapBeltFriction,LoadLimiter,SeatFriction,ShoulderBeltFriction,AirBagInflation,AirBagVenting,Normalized ChestD,FFL,FFR,HIC
0,19.02857143,1.65,27.2,1.444117647,0.24,0.752941176,1.07,0.13,0.7,1.279333333,0.019442799,3331.4,4250.1,345.43
1,24.3,1.75,32.3,1.929411765,0.78,0.971764706,1.43,0.45,0.7,1.367333333,0.016663696,4371.7,6323.4,520.43
2,30.6,1.81,25.7,1.497058824,0.47,0.918823529,1.95,0.54,0.707333333,1.235333333,0.014052295,4710.9,4897,385.62
3,37.02857143,1.54,44.6,1.1,0.78,0.749411765,0.97,0.6,0.707333333,1.433333333,0.050562979,7455.7,9528.1,892.36
4,19.28571429,1.76,45.5,1.355882353,0.59,1.144705882,1.24,0.95,0.707333333,1.411333333,0.017422852,5531,7645,3410.8
5,44.61428571,1.69,48.8,1.788235294,0.2,1.035294118,1.41,0.79,0.714666667,1.257333333,0.054353626,11711,16312,318.1
6,18.12857143,1.56,30.8,0.861764706,0.48,1.028235294,1.15,0.22,0.714666667,1.675333333,0.01891884,2111.8,752.01,398.21
7,38.82857143,1.66,39.2,1.938235294,0.39,0.816470588,1.98,0.27,0.714666667,1.558,0.048114492,5281.9,5616.5,649.29
8,38.05714286,1.86,31.7,0.508823529,0.29,0.876470588,1.44,0.89,0.722,1.066666667,0.038932325,6265.5,7127.3,397.4
9,20.7,1.53,22.4,1.594117647,0.8,1.197647059,1.62,0.59,0.722,1.609333333,0.01984369,397.89,381.98,119.92
10,27.77142857,1.55,25.7,1.902941176,0.65,1.014117647,1.32,0.83,0.722,0.751333333,0.017638714,1913.5,2432.6,104.33
11,33.3,1.71,32,1.638235294,0.41,1.18,1.26,0.2,0.729333333,0.868666667,0.021005401,4518.1,5155.2,211.76
12,25.2,1.81,31.1,0.941176471,0.83,0.890588235,0.68,0.59,0.729333333,1.734,0.015879214,5721.6,7439.8,711.36
13,20.05714286,1.71,43.7,0.985294118,0.24,0.964705882,0.93,0.57,0.744,0.802666667,0.018678254,4304.4,6032,428.1
14,31.37142857,1.56,35,0.588235294,0.31,1.289411765,1.94,0.49,0.744,1.58,0.020602499,2810,4266.7,372.49
15,38.31428571,1.89,36.8,1.391176471,0.57,1.222352941,1.37,0.25,0.744,1.25,0.037432491,7340.8,7677.3,636.62
16,21.98571429,1.62,37.4,1.047058824,0.97,0.830588235,1.49,0.67,0.744,1.47,0.015928277,2835.9,3633.3,507.88
17,37.8,1.74,49.4,1.214705882,0.98,0.982352941,1.2,0.37,0.766,0.846666667,0.061085923,8450.7,9133.6,1229.6
