Make,Model,Year,Age,Stature,BMI,DeltaV,HIC,ChestD,,
Honda,Accord,2013,35,175,25.47,35,131.7,0.0172,,
Toyota,Camry,2018,35,175,25.47,35,140,0.023,,
Nissan,Altima,2013,35,175,25.47,35,262,0.018,,
Chevrolet,Impala,2001,35,175,25.47,35,176,0.022,,
Chevrolet,Impala,2001,35,175,25.47,35,54,0.019,,
Ford,Fusion,2010,35,175,25.47,35,123,0.023,,
Ford,Fusion,2006,35,175,25.47,35,510,0.029,,
Subaru,Legacy,2018,35,175,25.47,35,94.686,0.025408,,
Subaru,Legacy,2013,35,175,25.47,35,56.07,0.02091,,
Subaru,Legacy,2010,35,175,25.47,35,343,0.02,,
Kia,Optima,2006,35,175,25.47,35,152,0.032,,
Hyundai,Sonata,2015,35,175,25.47,35,245,0.017,,
Hyundai,Sonata,2011,35,175,25.47,35,306,0.018,,
Hyundai,Sonata,2011,35,175,25.47,35,173,0.016,,
Hyundai,Sonata,2011,35,175,25.47,35,342,0.022,,
